,Year,Quarter,LGA,PTB Cases,EPTB Cases,Total TB Cases notified
0,2019,1,Birnin-Gwari,25,0,25
1,2019,2,Birnin-Gwari,19,0,19
2,2019,3,Birnin-Gwari,14,0,14
3,2019,4,Birnin-Gwari,10,0,10
4,2019,1,Chikun,75,5,75
5,2019,2,Chikun,75,5,75
6,2019,3,Chikun,73,3,73
7,2019,4,Chikun,75,2,75
8,2019,1,Giwa,38,5,38
9,2019,2,Giwa,51,1,51
10,2019,3,Giwa,46,5,46
11,2019,4,Giwa,46,7,46
12,2019,1,Igabi,70,4,70
13,2019,2,Igabi,40,1,40
14,2019,3,Igabi,66,1,66
15,2019,4,Igabi,76,1,76
16,2019,1,Ikara,13,0,13
17,2019,2,Ikara,20,0,20
18,2019,3,Ikara,18,0,18
19,2019,4,Ikara,22,2,22
20,2019,1,Jaba,20,0,20
21,2019,2,Jaba,22,0,22
22,2019,3,Jaba,12,0,12
23,2019,4,Jaba,15,0,15
24,2019,1,Jema'a,51,0,51
25,2019,2,Jema'a,38,1,38
26,2019,3,Jema'a,58,1,58
27,2019,4,Jema'a,43,0,43
28,2019,1,Kachia,43,0,43
29,2019,2,Kachia,44,0,44
30,2019,3,Kachia,82,0,82
31,2019,4,Kachia,79,0,79
32,2019,1,Kaduna North,153,9,153
33,2019,2,Kaduna North,179,27,179
34,2019,3,Kaduna North,181,24,181
35,2019,4,Kaduna North,176,11,176
36,2019,1,Kaduna South,158,6,158
37,2019,2,Kaduna South,199,10,199
38,2019,3,Kaduna South,188,7,188
39,2019,4,Kaduna South,184,9,184
40,2019,1,Kagarko,18,0,18
41,2019,2,Kagarko,23,0,23
42,2019,3,Kagarko,11,2,11
43,2019,4,Kagarko,16,0,16
44,2019,1,Kajuru,10,0,10
45,2019,2,Kajuru,10,0,10
46,2019,3,Kajuru,20,0,20
47,2019,4,Kajuru,21,0,21
48,2019,1,Kaura,31,0,31
49,2019,2,Kaura,14,0,14
50,2019,3,Kaura,18,0,18
51,2019,4,Kaura,22,1,22
52,2019,1,Kauru,12,0,12
53,2019,2,Kauru,13,0,13
54,2019,3,Kauru,22,0,22
55,2019,4,Kauru,19,1,19
56,2019,1,Kubau,15,0,15
57,2019,2,Kubau,19,0,19
58,2019,3,Kubau,17,0,17
59,2019,4,Kubau,20,0,20
60,2019,1,Kudan,13,0,13
61,2019,2,Kudan,11,0,11
62,2019,3,Kudan,12,0,12
63,2019,4,Kudan,23,0,23
64,2019,1,Lere,30,1,30
65,2019,2,Lere,25,1,25
66,2019,3,Lere,24,1,24
67,2019,4,Lere,27,1,27
68,2019,1,Markafi,24,1,24
69,2019,2,Markafi,30,1,30
70,2019,3,Markafi,34,0,34
71,2019,4,Markafi,43,0,43
72,2019,1,Sabon-Gari,34,0,34
73,2019,2,Sabon-Gari,47,2,47
74,2019,3,Sabon-Gari,61,1,61
75,2019,4,Sabon-Gari,91,0,91
76,2019,1,Sanga,30,0,30
77,2019,2,Sanga,26,0,26
78,2019,3,Sanga,40,0,40
79,2019,4,Sanga,29,0,29
80,2019,1,Soba,12,0,12
81,2019,2,Soba,9,0,9
82,2019,3,Soba,17,0,17
83,2019,4,Soba,17,0,17
84,2019,1,Zango-Kataf,23,1,23
85,2019,2,Zango-Kataf,34,0,34
86,2019,3,Zango-Kataf,27,5,27
87,2019,4,Zango-Kataf,25,0,25
88,2019,1,Zaria,93,19,93
89,2019,2,Zaria,101,10,101
90,2019,3,Zaria,118,17,118
91,2019,4,Zaria,126,23,126
92,2020,1,Birnin-Gwari,13,0,13
93,2020,2,Birnin-Gwari,14,0,14
94,2020,3,Birnin-Gwari,23,0,23
95,2020,4,Birnin-Gwari,46,0,46
96,2020,1,Chikun,81,0,81
97,2020,2,Chikun,62,1,62
98,2020,3,Chikun,68,1,68
99,2020,4,Chikun,66,0,66
100,2020,1,Giwa,66,6,66
101,2020,2,Giwa,33,6,33
102,2020,3,Giwa,53,14,53
103,2020,4,Giwa,58,14,58
104,2020,1,Igabi,60,0,60
105,2020,2,Igabi,43,2,43
106,2020,3,Igabi,70,0,70
107,2020,4,Igabi,99,0,99
108,2020,1,Ikara,17,1,17
109,2020,2,Ikara,19,0,19
110,2020,3,Ikara,14,0,14
111,2020,4,Ikara,31,0,31
112,2020,1,Jaba,15,0,15
113,2020,2,Jaba,13,0,13
114,2020,3,Jaba,10,0,10
115,2020,4,Jaba,13,0,13
116,2020,1,Jema'a,46,1,46
117,2020,2,Jema'a,39,2,39
118,2020,3,Jema'a,48,0,48
119,2020,4,Jema'a,57,0,57
120,2020,1,Kachia,148,2,148
121,2020,2,Kachia,127,0,127
122,2020,3,Kachia,141,1,141
123,2020,4,Kachia,167,0,167
124,2020,1,Kaduna North,178,13,178
125,2020,2,Kaduna North,190,6,190
126,2020,3,Kaduna North,256,5,256
127,2020,4,Kaduna North,335,14,335
128,2020,1,Kaduna South,233,9,233
129,2020,2,Kaduna South,208,16,208
130,2020,3,Kaduna South,219,8,219
131,2020,4,Kaduna South,239,4,239
132,2020,1,Kagarko,13,0,13
133,2020,2,Kagarko,17,3,17
134,2020,3,Kagarko,13,1,13
135,2020,4,Kagarko,26,0,26
136,2020,1,Kajuru,18,0,18
137,2020,2,Kajuru,21,0,21
138,2020,3,Kajuru,23,0,23
139,2020,4,Kajuru,29,0,29
140,2020,1,Kaura,19,0,19
141,2020,2,Kaura,20,0,20
142,2020,3,Kaura,18,0,18
143,2020,4,Kaura,20,0,20
144,2020,1,Kauru,20,0,20
145,2020,2,Kauru,22,0,22
146,2020,3,Kauru,32,0,32
147,2020,4,Kauru,78,0,78
148,2020,1,Kubau,17,1,17
149,2020,2,Kubau,21,0,21
150,2020,3,Kubau,29,0,29
151,2020,4,Kubau,33,0,33
152,2020,1,Kudan,19,1,19
153,2020,2,Kudan,10,0,10
154,2020,3,Kudan,22,0,22
155,2020,4,Kudan,29,0,29
156,2020,1,Lere,32,0,32
157,2020,2,Lere,28,0,28
158,2020,3,Lere,30,0,30
159,2020,4,Lere,48,1,48
160,2020,1,Markafi,34,0,34
161,2020,2,Markafi,35,1,35
162,2020,3,Markafi,35,0,35
163,2020,4,Markafi,60,0,60
164,2020,1,Sabon-Gari,45,0,45
165,2020,2,Sabon-Gari,70,0,70
166,2020,3,Sabon-Gari,79,0,79
167,2020,4,Sabon-Gari,87,0,87
168,2020,1,Sanga,31,0,31
169,2020,2,Sanga,21,1,21
170,2020,3,Sanga,33,1,33
171,2020,4,Sanga,21,1,21
172,2020,1,Soba,17,0,17
173,2020,2,Soba,21,2,21
174,2020,3,Soba,38,0,38
175,2020,4,Soba,51,0,51
176,2020,1,Zango-Kataf,34,0,34
177,2020,2,Zango-Kataf,31,16,31
178,2020,3,Zango-Kataf,41,0,41
179,2020,4,Zango-Kataf,50,0,50
180,2020,1,Zaria,133,14,133
181,2020,2,Zaria,158,10,158
182,2020,3,Zaria,198,8,198
183,2020,4,Zaria,230,11,230
184,2021,1,Birnin-Gwari,29,0,29
185,2021,2,Birnin-Gwari,75,0,75
186,2021,3,Birnin-Gwari,50,0,50
187,2021,4,Birnin-Gwari,105,0,105
188,2021,1,Chikun,95,4,95
189,2021,2,Chikun,123,0,123
190,2021,3,Chikun,147,1,147
191,2021,4,Chikun,339,2,339
192,2021,1,Giwa,71,12,71
193,2021,2,Giwa,136,9,136
194,2021,3,Giwa,233,11,233
195,2021,4,Giwa,512,14,512
196,2021,1,Igabi,100,0,100
197,2021,2,Igabi,89,0,89
198,2021,3,Igabi,109,0,109
199,2021,4,Igabi,191,0,191
200,2021,1,Ikara,19,0,19
201,2021,2,Ikara,26,0,26
202,2021,3,Ikara,29,0,29
203,2021,4,Ikara,36,0,36
204,2021,1,Jaba,23,0,23
205,2021,2,Jaba,24,0,24
206,2021,3,Jaba,25,0,25
