Column 1,Year,Quarter,LGA,PTB Cases,EPTB Cases,Total TB Cases notified,Cluster,Distance
0,2019,1,Birnin-Gwari,25,0,25,1,-347.8011786
1,2019,2,Birnin-Gwari,19,0,19,1,-347.7121782
2,2019,3,Birnin-Gwari,14,0,14,1,-347.6344562
3,2019,4,Birnin-Gwari,10,0,10,1,-347.5699517
4,2019,1,Chikun,75,5,75,4,12.524848655
5,2019,2,Chikun,75,5,75,4,12.524848655
6,2019,3,Chikun,73,3,73,4,13.030178993
7,2019,4,Chikun,75,2,75,4,13.325908057
8,2019,1,Giwa,38,5,38,4,12.985456391
9,2019,2,Giwa,51,1,51,2,-345.7631832
10,2019,3,Giwa,46,5,46,4,12.879981226
11,2019,4,Giwa,46,7,46,4,12.605099338
12,2019,1,Igabi,70,4,70,4,12.798223062
13,2019,2,Igabi,40,1,40,2,-345.6156404
14,2019,3,Igabi,66,1,66,2,-345.9078098
15,2019,4,Igabi,76,1,76,2,-345.9679659
16,2019,1,Ikara,13,0,13,1,-347.618524
17,2019,2,Ikara,20,0,20,1,-347.7273348
18,2019,3,Ikara,18,0,18,1,-347.6968923
19,2019,4,Ikara,22,2,22,4,14.00720566
20,2019,1,Jaba,20,0,20,1,-347.7273348
21,2019,2,Jaba,22,0,22,1,-347.7572601
22,2019,3,Jaba,12,0,12,1,-347.6024625
23,2019,4,Jaba,15,0,15,1,-347.6502591
24,2019,1,Jema'a,51,0,51,1,-348.1330696
25,2019,2,Jema'a,38,1,38,2,-345.5850432
26,2019,3,Jema'a,58,1,58,2,-345.8387982
27,2019,4,Jema'a,43,0,43,1,-348.0402569
28,2019,1,Kachia,43,0,43,1,-348.0402569
29,2019,2,Kachia,44,0,44,1,-348.0523109
30,2019,3,Kachia,82,0,82,1,-348.4145736
31,2019,4,Kachia,79,0,79,1,-348.3927607
32,2019,1,Kaduna North,153,9,153,4,11.438909623
33,2019,2,Kaduna North,179,27,179,4,19.981334582
34,2019,3,Kaduna North,181,24,181,4,17.349143966
35,2019,4,Kaduna North,176,11,176,4,11.418361598
36,2019,1,Kaduna South,158,6,158,4,11.580855968
37,2019,2,Kaduna South,199,10,199,4,11.189076574
38,2019,3,Kaduna South,188,7,188,4,11.273155059
39,2019,4,Kaduna South,184,9,184,4,11.229118314
40,2019,1,Kagarko,18,0,18,1,-347.6968923
41,2019,2,Kagarko,23,0,23,1,-347.7720289
42,2019,3,Kagarko,11,2,11,4,14.166462866
43,2019,4,Kagarko,16,0,16,1,-347.6659328
44,2019,1,Kajuru,10,0,10,1,-347.5699517
45,2019,2,Kajuru,10,0,10,1,-347.5699517
46,2019,3,Kajuru,20,0,20,1,-347.7273348
47,2019,4,Kajuru,21,0,21,1,-347.7423621
48,2019,1,Kaura,31,0,31,1,-347.8855252
49,2019,2,Kaura,14,0,14,1,-347.6344562
50,2019,3,Kaura,18,0,18,1,-347.6968923
51,2019,4,Kaura,22,1,22,2,-345.2984925
52,2019,1,Kauru,12,0,12,1,-347.6024625
53,2019,2,Kauru,13,0,13,1,-347.618524
54,2019,3,Kauru,22,0,22,1,-347.7572601
